Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Attack,Attack On An Animal,CHANDLER,2018-05-01
Animal,Attack,Attack On An Animal,RIVERHILLS,2018-05-01
Animal,Other Animal,Too Many Animals,MITCHELTON,2018-05-01
Animal,Attack,Not An Attack,ROCKLEA,2018-05-01
Animal,Attack,Menacing,PULLENVALE,2018-05-01
Animal,Other Animal,Odour,STRETTON,2018-05-01
Animal,Cat Trapping,,ACACIA RIDGE,2018-05-01
Animal,Dog,Fencing Issues,NUNDAH,2018-05-01
Animal,Attack,Attack On A Person,ENOGGERA,2018-05-01
Animal,Dog,Fencing Issues,BOWEN HILLS,2018-05-01
Animal,Attack,Attack On A Person,ASHGROVE,2018-05-01
Animal,Attack,Attack On An Animal,STAFFORD HEIGHTS,2018-05-01
Animal,Other Animal,Wild Dog,MOUNT GRAVATT EAST,2018-05-01
Animal,Other Animal,Nuisance Animal,KEDRON,2018-05-01
Animal,Dog,Defecating In Public,PARKINSON,2018-05-01
Animal,Attack,Not An Attack,WACOL,2018-05-01
Animal,Dog,Fencing Issues,ASCOT,2018-05-01
Animal,Attack,Attack On A Person,MOOROOKA,2018-05-01
Animal,Dog,Fencing Issues,ACACIA RIDGE,2018-05-01
Animal,Attack,Attack On A Person,CHAPEL HILL,2018-05-01
Animal,Dog,Fencing Issues,FITZGIBBON,2018-05-01
Animal,Other Animal,Rabbit,WYNNUM WEST,2018-05-01
Animal,Dog,Fencing Issues,LUTWYCHE,2018-05-01
Animal,Dog,Fencing Issues,KEDRON,2018-05-01
Animal,Other Animal,Nuisance Animal,MOUNT GRAVATT EAST,2018-05-01
Animal,Cat Trapping,,ROCKLEA,2018-05-01
Animal,Dog,Defecating In Public,SHERWOOD,2018-05-01
Animal,Other Animal,Fox,CARINA,2018-05-01
Animal,Attack,Not An Attack,EVERTON PARK,2018-05-01
Animal,Dog,Fencing Issues,EVERTON PARK,2018-05-01
Animal,Dog,Fencing Issues,WINDSOR,2018-05-01
Animal,Dog,,NUDGEE,2018-05-01
Animal,Other Animal,Fox,KARANA DOWNS,2018-05-01
Animal,Other Animal,Odour,CHERMSIDE,2018-05-01
Animal,Cat,,FOREST LAKE,2018-05-01
Animal,Cat Trapping,,WOOLLOONGABBA,2018-05-01
Animal,Other Animal,Odour,BARDON,2018-05-01
Animal,Attack,Menacing,KARANA DOWNS,2018-05-01
Animal,Dog,Unregistered,,2018-05-01
Animal,Dog,Unregistered,CARINDALE,2018-05-01
Animal,Cat Trapping,,WYNNUM WEST,2018-05-01
Animal,Other Animal,Fox,CARSELDINE,2018-05-01
Animal,Attack,Attack On A Person,DEAGON,2018-05-01
Animal,Cat Trapping,,WYNNUM,2018-05-01
Animal,Dog,Unregistered,KARANA DOWNS,2018-05-01
Animal,Dog,Unregistered,,2018-05-01
Animal,Dog,Fencing Issues,WYNNUM,2018-05-01
Animal,Attack,Attack On An Animal,NUDGEE,2018-05-01
